date,id1,id2,k1,k2
2020-02-02,A3,C0,3,1
2020-02-03,A1,A2,2,3
2020-02-04,B1,B2,1,3
2020-02-05,C1,C2,0,3
2020-02-06,A0,B0,2,3
2020-02-09,A3,B0,0,3
2020-02-10,B2,C0,0,3
2020-02-11,A0,A1,3,1
2020-02-12,A2,C1,2,3
2020-02-13,B1,C2,1,3
2020-02-18,A2,A3,2,3
2020-02-20,B0,B1,3,2
2020-02-22,C0,C1,3,2
2020-02-25,A0,B2,2,3
2020-02-28,A1,C2,0,3
2020-02-29,A0,A2,3,2
2020-03-01,A1,A3,3,2
2020-03-08,B2,C1,3,2
2020-03-11,B3,B4,2,3
2020-03-12,B1,B3,2,3
2020-03-13,B4,C0,2,3
2020-03-13,B0,B3,3,1
2020-03-14,B4,C2,2,3
2020-03-14,A0,B3,2,3
2020-03-15,A2,B4,3,1
2020-03-16,A1,C1,3,1
2020-03-16,A3,B1,2,3
2020-03-17,C0,C2,3,2
2020-03-17,B2,B3,3,2
2020-03-18,B0,B4,3,1
2020-03-19,A0,A3,2,3
2020-03-21,A1,B0,3,2
2020-03-21,A2,B1,3,0
2020-03-21,B2,C2,1,3
2020-03-22,B3,C0,2,3
2020-03-22,B4,C1,3,2
2020-03-23,A0,C2,2,3
2020-03-24,A1,C0,3,1
2020-03-25,A2,B3,3,2
2020-03-27,A3,C1,3,0
2020-03-27,B0,B2,2,3
2020-03-28,B1,B4,3,2
2020-03-29,A0,C1,2,3
2020-03-29,A1,B4,3,0
2020-03-30,A2,B2,3,0
2020-03-31,A3,B3,3,1
2020-04-01,B1,C0,2,3
2020-04-02,B0,C2,2,3
2020-04-04,A0,B1,3,2
2020-04-04,A1,B3,3,1
2020-04-07,A2,C2,3,2
2020-04-08,A3,B4,3,2
2020-04-09,B0,C0,3,1
2020-04-09,A1,B2,1,3
2020-04-12,B0,C1,3,2
2020-04-13,A0,B4,3,2
2020-04-13,A2,C0,1,3
2020-04-14,A3,B2,2,3
2020-04-15,B1,C1,2,3
2020-04-19,B3,C2,1,3
2020-04-21,A0,C0,1,3
2020-04-25,A1,B1,2,3
2020-05-02,A2,B0,3,2
2020-05-02,A3,C2,2,3
2020-05-05,B2,B4,2,3
2020-05-06,B3,C1,2,3
2020-06-03,A1,C4,3,1
2020-06-07,A3,C3,1,3
2020-06-07,A2,C4,3,2
2020-06-11,B5,C5,2,3
2020-06-14,A4,C5,3,1
2020-06-21,B5,C6,1,3
2020-06-25,B0,C6,2,3
2020-06-27,A2,A4,3,1
2020-06-27,A0,B5,3,2
2020-06-27,A1,C6,1,3
2020-07-02,A0,C3,3,2
2020-07-02,A4,B0,2,3
2020-07-04,A1,C5,3,2
2020-07-05,A0,C4,3,2
2020-07-07,B0,C3,1,3
2020-07-11,A2,B5,3,2
2020-07-11,A0,A4,2,3
2020-07-12,A2,C5,3,1
2020-07-12,B0,B5,3,1
2020-07-15,A1,C3,2,3
2020-07-16,A2,C6,3,2
2020-07-23,A1,B6,3,1
2020-07-24,A0,C5,3,2
2020-07-25,B0,B6,3,2
2020-07-26,A0,C6,1,3
2020-07-26,A1,A4,3,1
2020-07-27,A2,B6,1,3
2020-07-28,B0,C4,3,2
2020-07-29,A1,B5,3,2
2020-07-29,A2,C3,2,3
2020-07-30,A0,B6,3,1
2020-07-30,B0,C5,2,3
2020-08-03,A4,D0,1,3
2020-08-04,B1,D1,3,1
2020-08-15,A3,D2,3,2
2020-08-17,C6,D3,1,3
2020-08-28,B3,D4,0,3
2020-08-28,C4,D5,3,2
2020-08-29,A3,A6,0,3
2020-08-29,A5,B1,2,3
2020-08-30,B6,D0,1,3
2020-09-02,D1,D2,3,1
2020-09-03,A3,D3,0,3
2020-09-04,A6,D4,3,2
2020-09-06,C3,D5,3,1
2020-09-07,C4,C6,1,3
2020-09-08,A5,D0,1,3
2020-09-11,B6,D1,3,2
2020-09-16,C5,D2,1,3
2020-09-21,D3,D4,3,0
2020-09-22,B1,D5,0,3
2020-09-23,C3,C6,3,2
2020-09-24,A3,D0,3,1
2020-09-25,C4,D1,2,3
2020-09-27,B5,D2,1,3
2020-09-28,C5,D3,1,3
2020-10-03,D4,D5,3,2
2020-10-04,A3,A5,3,2
2020-10-05,C6,D0,1,3
2020-10-06,B1,D2,3,1
2020-10-09,A6,D1,3,2
2020-10-11,A4,D3,3,2
2020-10-13,B6,D4,0,3
2020-10-15,C6,D5,2,3
2020-10-16,B1,C4,2,3
2020-10-17,A3,D1,2,3
2020-10-18,D0,D2,2,3
2020-10-19,B5,D3,3,2
2020-10-22,C3,D4,3,1
2020-10-23,A3,D5,2,3
2020-10-25,C5,C6,2,3
2020-10-30,B1,D0,0,3
2020-10-31,C4,D2,3,2
2020-10-31,D1,D3,2,3
2020-11-01,A5,D5,2,3
2020-11-02,C6,D4,3,2
2020-11-03,A3,A4,3,1
2020-11-12,B1,D3,0,3
2020-11-13,A6,D0,3,1
2020-11-13,B5,D4,3,2
2020-11-14,D1,D5,3,0
2020-11-16,C6,D2,2,3
2020-11-19,B1,C3,2,3
2020-11-19,A3,D4,3,1
2020-11-27,B6,D3,3,2
2020-11-28,C4,D0,1,3
2020-11-28,A5,D2,2,3
2020-11-28,C6,D1,3,1
2020-11-30,B1,D4,1,3
2020-11-30,A3,C5,1,3
2020-12-01,D0,D5,3,2
2020-12-02,A6,D3,3,1
2020-12-09,B5,D1,2,3
2020-12-10,B1,C6,3,2
2020-12-10,C3,C5,3,2
2020-12-11,A3,C4,1,3
2020-12-12,C1,D2,2,3
2020-12-12,A6,D5,3,2
2020-12-25,B5,D0,1,3
2020-12-26,B1,B6,3,1
2021-01-17,A3,C6,2,3
2021-01-17,C3,C4,3,1
2021-01-18,C2,D1,2,3
2021-01-18,D2,D3,0,3
2021-01-19,A5,D4,1,3
2021-01-19,A3,B6,2,3
2021-01-19,B1,C5,2,3
2021-01-20,C2,C6,2,3
2021-01-22,B5,D5,1,3
2021-01-22,C3,D0,3,2
2021-02-14,A5,D1,2,3
2021-02-14,A3,B5,3,1
2021-02-15,A4,B1,2,3
2021-02-15,B3,C6,1,3
2021-02-16,B6,D2,1,3
2021-02-16,D3,D5,2,3
2021-02-17,C1,D4,2,3
2021-02-17,A6,B1,3,2
2021-02-18,B4,C6,2,3
2021-02-19,A1,D0,1,3
2021-02-19,B3,D1,1,3
2021-02-20,C3,D2,3,2
2021-02-25,B1,B5,3,1
2021-02-26,A4,C6,2,3
2021-02-26,A5,D3,2,3
2021-05-02,A3,E0,1,3
2021-05-12,B1,E1,2,3
2021-05-12,C6,E2,3,2
2021-05-24,D4,E3,1,3
2021-05-24,C2,C4,3,2
2021-05-25,C5,D5,1,3
2021-05-27,A3,E1,3,0
2021-05-27,B1,E2,2,3
2021-05-29,C6,E3,3,2
2021-06-01,D2,E0,2,3
2021-06-04,B6,D5,0,3
2021-09-13,D0,D1,3,1
2021-09-13,C6,E0,3,2
2021-10-02,E1,E2,3,2
2021-10-02,A5,E3,2,3
2021-12-05,D0,E0,1,3
2021-12-05,A6,D2,3,1
2022-01-16,B4,D3,0,3
2022-01-17,A3,E2,2,3
2022-01-18,E1,E3,3,2
2022-01-19,B1,E0,0,3
2022-01-20,B4,E1,1,3
2022-03-05,C1,D1,0,3
2023-10-25,F2,F3,2,3
2023-11-15,F0,F1,0,3
2023-11-17,C3,E2,3,2
2023-11-25,A6,F0,0,3
2024-04-19,B6,F1,1,3
2024-04-26,C4,F2,1,3
2024-04-27,D4,F3,0,3
2024-05-24,E3,F0,3,2
2024-06-23,D3,E0,3,1
2024-06-28,A5,F1,2,3
2024-07-01,B6,F2,2,3
2024-07-03,C5,F3,2,3
2024-07-05,D4,F0,1,3
2024-07-07,E1,F1,1,3
2024-07-11,A6,E2,3,1
2024-07-12,A4,F2,3,2
2024-07-13,B3,F3,0,3
2024-07-21,C7,F0,3,1
2024-07-22,D5,F1,2,3
2024-08-04,E3,F2,3,2
2024-10-19,A7,F3,1,3
2024-10-19,B2,F0,1,3
2024-10-20,A9,G0,2,3
2024-10-20,B2,G1,3,2
2024-10-21,C7,G3,2,3
2024-10-24,D0,G2,1,3
2024-10-25,E0,G0,3,2
2024-10-26,F1,G1,3,2
2024-10-26,G2,G3,3,2
2024-11-02,A8,G0,3,1
2024-11-04,B2,G2,2,3
2024-11-06,C7,G1,1,3
2024-11-08,D1,G3,1,3
2024-11-08,E1,G0,2,3
2024-11-09,A7,H0,2,3
2024-11-10,B2,H1,1,3
2024-11-13,C7,H3,3,2
2024-11-16,D3,H2,2,3
2024-11-22,E3,H0,1,3
2024-12-14,F3,H1,3,0
2024-12-15,G1,H3,3,2
2024-12-16,H0,H2,2,3
